"","Stream start time","Stream URL","Stream length","Watch time","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Saturday 20th March 2021 17:58","https://sullygnome.com/channel/hasanabi/stream/42044415406","781","10858243","13903","17257","1418","109","137305","10561","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"2","Friday 19th March 2021 17:53","https://sullygnome.com/channel/hasanabi/stream/42032673854","591","9191823","15553","20435","1336","133","127592","12011","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Grand Theft Auto V|Grand_Theft_Auto_V|https://static-cdn.jtvnw.net/ttv-boxart/Grand%20Theft%20Auto%20V-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"3","Thursday 18th March 2021 17:53","https://sullygnome.com/channel/hasanabi/stream/42021928062","636","10451388","16433","25471","1125","104","138650","12181","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Grand Theft Auto V|Grand_Theft_Auto_V|https://static-cdn.jtvnw.net/ttv-boxart/Grand%20Theft%20Auto%20V-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"4","Wednesday 17th March 2021 18:00","https://sullygnome.com/channel/hasanabi/stream/42011690014","689","13451347","19523","26585","2899","252","189315","16142","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Grand Theft Auto V|Grand_Theft_Auto_V|https://static-cdn.jtvnw.net/ttv-boxart/Grand%20Theft%20Auto%20V-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"5","Tuesday 16th March 2021 18:03","https://sullygnome.com/channel/hasanabi/stream/42001314014","777","13352745","17185","27264","1616","124","174773","13156","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"6","Monday 15th March 2021 17:49","https://sullygnome.com/channel/hasanabi/stream/41990526734","805","15788465","19613","52112","1646","121","171343","12384","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Grand Theft Auto V|Grand_Theft_Auto_V|https://static-cdn.jtvnw.net/ttv-boxart/Grand%20Theft%20Auto%20V-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"7","Sunday 14th March 2021 20:36","https://sullygnome.com/channel/hasanabi/stream/41981997294","623","9273978","14886","28312","1251","119","129056","11901","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Grand Theft Auto V|Grand_Theft_Auto_V|https://static-cdn.jtvnw.net/ttv-boxart/Grand%20Theft%20Auto%20V-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"8","Saturday 13th March 2021 18:23","https://sullygnome.com/channel/hasanabi/stream/41969208846","936","14806584","15819","28894","2338","148","196094","12450","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Grand Theft Auto V|Grand_Theft_Auto_V|https://static-cdn.jtvnw.net/ttv-boxart/Grand%20Theft%20Auto%20V-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"9","Friday 12th March 2021 19:43","https://sullygnome.com/channel/hasanabi/stream/41958515134","736","12946240","17590","35606","1383","112","155289","12676","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Grand Theft Auto V|Grand_Theft_Auto_V|https://static-cdn.jtvnw.net/ttv-boxart/Grand%20Theft%20Auto%20V-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Grand Theft Auto III|Grand_Theft_Auto_III|https://static-cdn.jtvnw.net/ttv-boxart/Grand%20Theft%20Auto%20III-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"10","Thursday 11th March 2021 18:57","https://sullygnome.com/channel/hasanabi/stream/41947072094","617","10638314","17242","25499","1176","112","138907","13229","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Grand Theft Auto V|Grand_Theft_Auto_V|https://static-cdn.jtvnw.net/ttv-boxart/Grand%20Theft%20Auto%20V-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
