"","Stream length","Watch time","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","weekday","time"
"1",781,10858243,13903,17257,1418,109,137305,10561,7,17.58
"2",591,9191823,15553,20435,1336,133,127592,12011,6,17.53
"3",636,10451388,16433,25471,1125,104,138650,12181,5,17.53
"4",689,13451347,19523,26585,2899,252,189315,16142,4,18
"5",777,13352745,17185,27264,1616,124,174773,13156,3,18.03
"6",805,15788465,19613,52112,1646,121,171343,12384,2,17.49
"7",623,9273978,14886,28312,1251,119,129056,11901,1,20.36
"8",936,14806584,15819,28894,2338,148,196094,12450,7,18.23
"9",736,12946240,17590,35606,1383,112,155289,12676,6,19.43
"10",617,10638314,17242,25499,1176,112,138907,13229,5,18.57
"11",822,17534904,21332,31360,3702,269,227151,16520,4,19.02
"12",721,12545400,17400,29305,1461,121,151038,12586,3,19.13
"13",620,10618120,17126,29992,1414,134,145872,13420,2,21.39
"14",824,13555624,16451,24133,2353,171,195598,13938,7,20
"15",1008,13967856,13857,23642,1945,114,184147,10477,6,19.11
"16",705,11594430,16446,25359,1102,93,130538,11109,5,19.14
"17",669,12340374,18446,28143,1465,130,139624,12092,4,19.35
"18",747,15500250,20750,45585,2704,216,169631,13570,3,19.02
"19",734,14199230,19345,33092,1371,111,157220,12541,2,19
"20",768,11512320,14990,24206,1331,102,144311,11100,7,19.11
"21",545,10575725,19405,29774,888,96,111555,11622,6,18.54
"22",730,13158250,18025,29125,1262,103,184059,14705,5,19.04
"23",670,11399380,17014,39968,3950,351,162876,14169,4,19.04
"24",750,12614250,16819,27802,1005,80,137978,10709,3,18.59
"25",636,12117072,19052,31564,917,85,136104,12660,2,19.08
"26",800,12679200,15849,24259,1502,111,153060,11337,1,19.24
"27",773,11741870,15190,21376,1268,97,152682,11194,7,18.21
"28",718,11625138,16191,25937,869,72,145059,12088,6,19.01
"29",477,9633492,20196,30641,724,90,133287,15682,5,19.02
"30",793,18453110,23270,39463,1729,130,193705,14619,4,19.01
"31",749,15079617,20133,32062,1491,119,172155,13443,3,19
"32",727,14476751,19913,27996,1178,98,158034,12874,2,18.52
"33",698,11046548,15826,17794,1267,107,143106,11894,7,18.51
"34",662,12543576,18948,30769,1188,108,147878,13137,6,18.57
"35",727,15521450,21350,34843,1356,110,174800,13931,5,18.52
"36",773,15086641,19517,33504,1784,137,190710,14464,4,18.51
"37",743,14452836,19452,38791,1858,148,190099,15207,3,18.36
"38",753,15707580,20860,36334,1681,131,185051,14513,2,18.56
"39",647,12928354,19982,25525,1773,164,163776,15234,7,19.27
"40",744,12467208,16757,27164,2657,212,235794,18553,6,19.2
"41",808,18958912,23464,42579,1813,134,191334,13902,5,19.01
"42",653,14636342,22414,36734,1680,152,153865,13987,4,19.06
"43",664,14141872,21298,40209,1298,115,153710,13663,3,18.55
"44",755,18811580,24916,43953,1850,145,192303,14915,2,19.09
"45",619,10838690,17510,25574,1384,131,139117,13249,1,20.4
"46",755,13981090,18518,30701,1712,134,174735,13704,7,19.09
"47",623,17718120,28440,42106,1923,183,201121,18682,6,18.51
"48",601,37435088,62288,85907,9019,901,381539,38153,5,18.58
"49",667,22884103,34309,51714,3192,283,218267,18812,4,19.22
"50",767,22467731,29293,47082,2631,202,215521,16210,3,18.57
"51",608,20908512,34389,46891,2359,230,210716,20557,2,19.06
"52",487,11009609,22607,35636,1112,134,147923,17930,7,18.52
"53",537,18112473,33729,43890,1723,191,173662,19295,6,19.02
"54",628,22830312,36354,51757,2276,216,216585,20145,5,19.01
"55",764,51302600,67150,128468,7183,563,425903,32757,4,16
